date,market,account,brand,category,rep,goal,sales_volume,displays,pods,voids
2026-01-15,Dallas,Market Street,Prairie Pinot Grigio,Wine,Riley Brooks,125,145,1,5,1
2026-01-15,Austin,Tom Thumb,Estate Ridge Cabernet,Spirits,Jamie Patel,101,117,2,10,1
2026-01-15,San Antonio,Central Market,Hill Country IPA,Wine,Alex Carter,166,173,1,13,1
2026-01-15,Dallas,Whole Foods,Estate Ridge Cabernet,Wine,Taylor Morgan,126,125,0,14,1
2026-01-15,Dallas,Kroger,Prairie Pinot Grigio,Wine,Alex Carter,125,141,3,9,1
2026-01-15,Houston,Market Street,Lone Star Vodka,Wine,Drew Kim,170,184,1,12,1
2026-01-15,Austin,Tom Thumb,Lone Star Vodka,Beer,Sam Nguyen,173,204,2,10,1
2026-01-15,Dallas,Tom Thumb,Lone Star Vodka,Beer,Jamie Patel,140,164,1,5,0
2026-01-15,Austin,Tom Thumb,Hill Country IPA,Wine,Taylor Morgan,104,105,1,14,0
2026-01-15,San Antonio,Market Street,Lone Star Vodka,Spirits,Riley Brooks,132,121,1,14,1
2026-01-15,Dallas,Kroger,Lone Star Vodka,Spirits,Taylor Morgan,98,91,2,14,0
2026-01-15,Austin,Kroger,Estate Ridge Cabernet,Beer,Riley Brooks,174,169,1,1,3
2026-01-15,Houston,Tom Thumb,Gulf Tequila,Beer,Sam Nguyen,176,187,1,15,2
2026-01-15,Austin,Whole Foods,Estate Ridge Cabernet,Beer,Drew Kim,181,151,0,14,2
2026-01-15,Austin,Tom Thumb,Estate Ridge Cabernet,Spirits,Casey Diaz,112,96,0,13,3
2026-01-15,Austin,Central Market,Gulf Tequila,Beer,Alex Carter,182,183,1,4,0
2026-01-15,Dallas,Kroger,Estate Ridge Cabernet,Wine,Casey Diaz,127,121,0,17,0
2026-01-15,Dallas,Whole Foods,Gulf Tequila,Spirits,Riley Brooks,119,120,1,11,0
2026-01-15,Houston,Tom Thumb,Hill Country IPA,Wine,Riley Brooks,159,168,2,12,2
2026-01-15,Austin,Central Market,Prairie Pinot Grigio,Wine,Riley Brooks,140,149,1,14,2
2026-01-15,Dallas,Market Street,Hill Country IPA,Wine,Jamie Patel,158,170,0,14,0
2026-01-15,San Antonio,Whole Foods,Hill Country IPA,Spirits,Taylor Morgan,130,170,2,16,0
2026-01-15,Austin,Whole Foods,Prairie Pinot Grigio,Beer,Drew Kim,175,261,3,7,0
2026-01-15,Dallas,Tom Thumb,Lone Star Vodka,Spirits,Drew Kim,105,93,0,11,0
2026-01-15,San Antonio,Central Market,Lone Star Vodka,Wine,Alex Carter,134,131,1,12,2
2026-01-15,Dallas,Kroger,Gulf Tequila,Wine,Jordan Lee,112,106,2,14,4
2026-01-16,Austin,Tom Thumb,Estate Ridge Cabernet,Beer,Casey Diaz,153,154,1,16,4
2026-01-16,Austin,Whole Foods,Prairie Pinot Grigio,Beer,Drew Kim,189,191,0,8,1
2026-01-16,Austin,Kroger,Estate Ridge Cabernet,Spirits,Jamie Patel,137,157,3,11,1
2026-01-16,San Antonio,Central Market,Estate Ridge Cabernet,Wine,Sam Nguyen,156,164,0,14,1
2026-01-16,San Antonio,Central Market,Hill Country IPA,Beer,Alex Carter,206,203,1,14,2
2026-01-16,Dallas,Central Market,Gulf Tequila,Wine,Taylor Morgan,146,167,3,10,2
2026-01-16,San Antonio,Whole Foods,Gulf Tequila,Wine,Jordan Lee,169,154,1,15,2
2026-01-16,Austin,Whole Foods,Gulf Tequila,Wine,Casey Diaz,143,168,2,7,1
2026-01-16,Houston,Kroger,Hill Country IPA,Beer,Jamie Patel,206,192,1,9,0
2026-01-16,San Antonio,Tom Thumb,Estate Ridge Cabernet,Wine,Drew Kim,122,109,1,14,4
2026-01-16,Austin,Central Market,Gulf Tequila,Beer,Alex Carter,172,160,0,8,2
2026-01-16,San Antonio,Central Market,Hill Country IPA,Spirits,Casey Diaz,134,157,1,6,0
2026-01-16,Dallas,Whole Foods,Hill Country IPA,Wine,Taylor Morgan,119,161,3,18,1
2026-01-16,San Antonio,Whole Foods,Estate Ridge Cabernet,Spirits,Casey Diaz,139,169,3,15,0
2026-01-16,Austin,Market Street,Hill Country IPA,Spirits,Sam Nguyen,128,136,1,7,4
2026-01-16,San Antonio,Tom Thumb,Prairie Pinot Grigio,Beer,Drew Kim,164,129,0,11,2
2026-01-16,Houston,Kroger,Gulf Tequila,Spirits,Jamie Patel,137,108,0,15,2
2026-01-16,Austin,Whole Foods,Estate Ridge Cabernet,Beer,Jordan Lee,170,182,2,13,0
2026-01-16,San Antonio,Tom Thumb,Hill Country IPA,Spirits,Alex Carter,103,108,1,12,0
2026-01-16,San Antonio,Kroger,Gulf Tequila,Wine,Alex Carter,134,152,1,9,0
2026-01-16,San Antonio,Tom Thumb,Prairie Pinot Grigio,Spirits,Jordan Lee,140,136,0,7,0
2026-01-16,San Antonio,Market Street,Prairie Pinot Grigio,Spirits,Taylor Morgan,114,111,1,15,1
2026-01-16,Austin,Whole Foods,Estate Ridge Cabernet,Spirits,Taylor Morgan,104,76,1,13,3
2026-01-16,San Antonio,Central Market,Estate Ridge Cabernet,Spirits,Jamie Patel,142,184,2,16,2
2026-01-16,Austin,Whole Foods,Lone Star Vodka,Wine,Taylor Morgan,168,163,2,11,0
2026-01-16,Dallas,Kroger,Prairie Pinot Grigio,Wine,Sam Nguyen,105,136,4,18,0
2026-01-16,Houston,Tom Thumb,Estate Ridge Cabernet,Wine,Jordan Lee,147,167,1,11,2
2026-01-16,Austin,Whole Foods,Prairie Pinot Grigio,Wine,Jamie Patel,129,128,1,13,0
2026-01-16,Dallas,Kroger,Hill Country IPA,Beer,Riley Brooks,153,194,2,13,1
2026-01-16,San Antonio,Tom Thumb,Gulf Tequila,Beer,Jordan Lee,186,164,0,12,0
2026-01-16,Austin,Tom Thumb,Gulf Tequila,Spirits,Casey Diaz,117,114,0,13,1
2026-01-16,Austin,Market Street,Estate Ridge Cabernet,Spirits,Riley Brooks,138,126,0,17,1
2026-01-16,San Antonio,Kroger,Lone Star Vodka,Spirits,Taylor Morgan,157,153,0,9,2
2026-01-16,Houston,Kroger,Estate Ridge Cabernet,Spirits,Jordan Lee,127,132,1,13,2
2026-01-16,Austin,Tom Thumb,Hill Country IPA,Wine,Alex Carter,103,129,1,13,2
2026-01-16,Dallas,Tom Thumb,Gulf Tequila,Beer,Alex Carter,156,142,0,15,1
2026-01-16,San Antonio,Whole Foods,Hill Country IPA,Wine,Jamie Patel,143,136,1,15,2
2026-01-16,Dallas,Kroger,Hill Country IPA,Wine,Drew Kim,114,117,1,20,0
2026-01-16,Dallas,Market Street,Estate Ridge Cabernet,Spirits,Casey Diaz,126,117,0,13,1
2026-01-16,Austin,Kroger,Hill Country IPA,Spirits,Jordan Lee,149,136,0,13,1
2026-01-16,Dallas,Whole Foods,Gulf Tequila,Wine,Sam Nguyen,142,116,2,5,1
2026-01-16,San Antonio,Whole Foods,Lone Star Vodka,Wine,Jordan Lee,179,171,0,13,2
2026-01-16,Houston,Market Street,Prairie Pinot Grigio,Spirits,Jordan Lee,128,117,1,14,0
2026-01-16,Dallas,Tom Thumb,Estate Ridge Cabernet,Wine,Riley Brooks,93,96,2,7,0
2026-01-16,Houston,Market Street,Gulf Tequila,Beer,Jamie Patel,200,235,1,12,2
2026-01-16,Houston,Tom Thumb,Estate Ridge Cabernet,Wine,Casey Diaz,187,177,0,15,2
2026-01-16,San Antonio,Market Street,Prairie Pinot Grigio,Wine,Jordan Lee,160,159,2,14,1
2026-01-16,San Antonio,Central Market,Gulf Tequila,Spirits,Sam Nguyen,110,118,4,12,2
2026-01-16,Houston,Market Street,Hill Country IPA,Wine,Casey Diaz,166,128,0,10,2
2026-01-16,Dallas,Whole Foods,Hill Country IPA,Beer,Drew Kim,154,141,1,13,1
2026-01-16,San Antonio,Tom Thumb,Lone Star Vodka,Wine,Alex Carter,118,107,0,17,1
2026-01-16,Dallas,Tom Thumb,Hill Country IPA,Spirits,Riley Brooks,102,96,0,10,1
2026-01-16,Dallas,Market Street,Lone Star Vodka,Wine,Jordan Lee,142,154,2,11,2
2026-01-16,Dallas,Market Street,Lone Star Vodka,Spirits,Casey Diaz,110,114,3,10,1
2026-01-16,Houston,Tom Thumb,Gulf Tequila,Spirits,Jordan Lee,140,124,1,15,2
2026-01-16,Houston,Market Street,Hill Country IPA,Beer,Casey Diaz,216,150,0,14,1
2026-01-16,Houston,Whole Foods,Hill Country IPA,Spirits,Riley Brooks,168,188,1,10,0
2026-01-16,San Antonio,Central Market,Hill Country IPA,Beer,Riley Brooks,188,224,3,15,2
2026-01-16,Houston,Whole Foods,Estate Ridge Cabernet,Beer,Taylor Morgan,216,222,1,13,2
2026-01-16,Houston,Tom Thumb,Estate Ridge Cabernet,Wine,Taylor Morgan,157,197,4,15,2
2026-01-16,San Antonio,Tom Thumb,Prairie Pinot Grigio,Beer,Sam Nguyen,174,186,1,16,1
2026-01-16,Austin,Central Market,Estate Ridge Cabernet,Beer,Jamie Patel,170,174,1,16,1
2026-01-16,San Antonio,Central Market,Gulf Tequila,Wine,Taylor Morgan,127,118,0,15,0
2026-01-16,Austin,Central Market,Lone Star Vodka,Beer,Taylor Morgan,191,156,0,6,1
2026-01-16,Houston,Kroger,Hill Country IPA,Beer,Jordan Lee,183,211,2,12,0
2026-01-16,San Antonio,Central Market,Gulf Tequila,Wine,Alex Carter,164,142,0,9,2
2026-01-16,San Antonio,Whole Foods,Prairie Pinot Grigio,Spirits,Jamie Patel,122,132,3,11,1
2026-01-16,Dallas,Market Street,Hill Country IPA,Beer,Casey Diaz,183,170,0,8,1
2026-01-16,Dallas,Central Market,Hill Country IPA,Wine,Jordan Lee,104,95,1,12,0
2026-01-16,Austin,Whole Foods,Estate Ridge Cabernet,Wine,Casey Diaz,146,156,0,14,0
2026-01-16,Houston,Kroger,Gulf Tequila,Spirits,Alex Carter,126,98,0,13,2
2026-01-16,Dallas,Whole Foods,Lone Star Vodka,Beer,Casey Diaz,175,175,0,12,0
2026-01-16,Austin,Market Street,Prairie Pinot Grigio,Beer,Jamie Patel,173,172,0,5,1
2026-01-16,San Antonio,Central Market,Hill Country IPA,Spirits,Riley Brooks,131,156,1,13,1
2026-01-16,San Antonio,Tom Thumb,Gulf Tequila,Beer,Drew Kim,181,207,2,12,1
2026-01-16,Houston,Central Market,Prairie Pinot Grigio,Spirits,Sam Nguyen,121,107,1,10,1
2026-01-16,Houston,Central Market,Estate Ridge Cabernet,Beer,Alex Carter,188,162,0,12,1
2026-01-16,Austin,Tom Thumb,Prairie Pinot Grigio,Spirits,Jamie Patel,136,135,2,15,2
2026-01-16,Dallas,Whole Foods,Estate Ridge Cabernet,Beer,Riley Brooks,171,183,0,13,0
2026-01-16,Austin,Central Market,Hill Country IPA,Spirits,Jamie Patel,93,79,1,11,2
2026-01-16,Houston,Whole Foods,Hill Country IPA,Wine,Sam Nguyen,173,189,2,11,1
2026-01-16,Houston,Tom Thumb,Hill Country IPA,Beer,Drew Kim,170,165,0,13,1
2026-01-16,Houston,Kroger,Gulf Tequila,Beer,Jamie Patel,195,180,1,12,0
2026-01-16,Austin,Whole Foods,Estate Ridge Cabernet,Spirits,Taylor Morgan,131,133,1,10,0
2026-01-16,San Antonio,Kroger,Gulf Tequila,Spirits,Jordan Lee,133,111,1,10,2
2026-01-16,Austin,Central Market,Hill Country IPA,Spirits,Jamie Patel,114,131,1,10,1
2026-01-16,San Antonio,Kroger,Lone Star Vodka,Spirits,Drew Kim,138,133,1,12,4
2026-01-16,Austin,Market Street,Hill Country IPA,Spirits,Riley Brooks,102,99,1,9,0
2026-01-16,San Antonio,Central Market,Prairie Pinot Grigio,Beer,Casey Diaz,190,158,1,15,2
2026-01-16,Houston,Whole Foods,Lone Star Vodka,Spirits,Jamie Patel,137,153,1,16,1
2026-01-16,Austin,Market Street,Lone Star Vodka,Wine,Casey Diaz,158,170,0,20,1
2026-01-16,Austin,Whole Foods,Hill Country IPA,Beer,Sam Nguyen,192,180,0,13,1
2026-01-16,San Antonio,Central Market,Prairie Pinot Grigio,Spirits,Jordan Lee,118,143,2,8,2
2026-01-16,Dallas,Tom Thumb,Hill Country IPA,Spirits,Sam Nguyen,83,74,1,14,1
2026-01-16,Austin,Tom Thumb,Estate Ridge Cabernet,Beer,Sam Nguyen,153,192,3,16,3
2026-01-16,San Antonio,Whole Foods,Lone Star Vodka,Spirits,Casey Diaz,120,110,1,16,2
2026-01-16,Houston,Tom Thumb,Gulf Tequila,Spirits,Taylor Morgan,132,146,3,9,0
2026-01-16,Houston,Tom Thumb,Lone Star Vodka,Wine,Taylor Morgan,178,152,2,9,3
2026-01-16,Houston,Kroger,Lone Star Vodka,Wine,Casey Diaz,146,164,1,11,0
2026-01-16,Austin,Kroger,Lone Star Vodka,Wine,Casey Diaz,147,165,2,11,2
2026-01-17,Austin,Tom Thumb,Estate Ridge Cabernet,Beer,Alex Carter,166,159,1,17,1
2026-01-17,Austin,Whole Foods,Hill Country IPA,Spirits,Jordan Lee,109,122,2,14,1
2026-01-17,Houston,Market Street,Estate Ridge Cabernet,Spirits,Riley Brooks,126,115,0,13,1
2026-01-17,Houston,Tom Thumb,Lone Star Vodka,Spirits,Jordan Lee,123,160,2,14,1
2026-01-17,San Antonio,Central Market,Hill Country IPA,Beer,Alex Carter,194,148,0,13,3
2026-01-17,Houston,Whole Foods,Lone Star Vodka,Beer,Drew Kim,201,188,0,10,3
2026-01-17,San Antonio,Whole Foods,Gulf Tequila,Beer,Riley Brooks,233,208,0,17,0
2026-01-17,Dallas,Tom Thumb,Hill Country IPA,Wine,Sam Nguyen,107,94,1,14,0
2026-01-17,Dallas,Market Street,Lone Star Vodka,Wine,Taylor Morgan,156,149,1,14,0
2026-01-17,Dallas,Central Market,Prairie Pinot Grigio,Spirits,Casey Diaz,107,111,0,12,1
2026-01-17,San Antonio,Whole Foods,Lone Star Vodka,Spirits,Riley Brooks,123,106,0,9,2
2026-01-17,Houston,Tom Thumb,Gulf Tequila,Beer,Jamie Patel,170,132,0,15,2
2026-01-17,Austin,Market Street,Gulf Tequila,Wine,Riley Brooks,155,144,0,12,0
2026-01-17,Austin,Central Market,Prairie Pinot Grigio,Wine,Alex Carter,145,147,1,3,1
2026-01-17,Dallas,Tom Thumb,Prairie Pinot Grigio,Wine,Jamie Patel,110,109,2,17,2
2026-01-17,Houston,Tom Thumb,Estate Ridge Cabernet,Beer,Sam Nguyen,169,178,0,12,1
2026-01-17,Houston,Central Market,Hill Country IPA,Beer,Jamie Patel,211,222,0,13,0
2026-01-17,Houston,Tom Thumb,Lone Star Vodka,Beer,Jordan Lee,157,177,1,10,2
2026-01-17,Dallas,Tom Thumb,Estate Ridge Cabernet,Beer,Casey Diaz,132,106,0,12,0
2026-01-17,San Antonio,Tom Thumb,Gulf Tequila,Beer,Taylor Morgan,192,187,0,12,1
2026-01-17,Austin,Central Market,Lone Star Vodka,Wine,Sam Nguyen,145,143,1,13,2
2026-01-17,Dallas,Market Street,Estate Ridge Cabernet,Spirits,Taylor Morgan,113,140,2,12,2
2026-01-17,San Antonio,Whole Foods,Estate Ridge Cabernet,Spirits,Casey Diaz,88,88,0,10,1
2026-01-17,Dallas,Whole Foods,Lone Star Vodka,Beer,Jordan Lee,183,160,1,13,0
2026-01-17,Dallas,Kroger,Prairie Pinot Grigio,Spirits,Casey Diaz,108,105,0,7,0
2026-01-17,San Antonio,Central Market,Estate Ridge Cabernet,Wine,Drew Kim,168,196,1,9,0
2026-01-17,Austin,Market Street,Estate Ridge Cabernet,Wine,Sam Nguyen,159,146,0,7,0
2026-01-17,San Antonio,Kroger,Prairie Pinot Grigio,Wine,Casey Diaz,122,139,1,11,0
2026-01-17,Houston,Whole Foods,Prairie Pinot Grigio,Wine,Alex Carter,162,149,0,13,0
2026-01-17,Dallas,Market Street,Gulf Tequila,Wine,Riley Brooks,140,112,1,11,1
2026-01-17,San Antonio,Whole Foods,Lone Star Vodka,Beer,Casey Diaz,213,225,1,14,3
2026-01-17,Houston,Tom Thumb,Lone Star Vodka,Spirits,Alex Carter,128,148,2,11,1
2026-01-17,Dallas,Kroger,Estate Ridge Cabernet,Wine,Riley Brooks,127,154,2,10,1
2026-01-17,San Antonio,Whole Foods,Hill Country IPA,Wine,Sam Nguyen,149,124,0,9,3
2026-01-17,San Antonio,Kroger,Lone Star Vodka,Spirits,Sam Nguyen,122,99,0,14,1
2026-01-17,Dallas,Market Street,Lone Star Vodka,Beer,Jamie Patel,194,184,0,16,1
2026-01-17,Austin,Kroger,Hill Country IPA,Beer,Drew Kim,176,173,0,12,2
2026-01-17,Dallas,Kroger,Estate Ridge Cabernet,Beer,Alex Carter,174,168,1,18,0
2026-01-17,Austin,Kroger,Estate Ridge Cabernet,Wine,Sam Nguyen,96,91,0,10,0
2026-01-17,Houston,Kroger,Prairie Pinot Grigio,Beer,Drew Kim,171,165,0,14,2
2026-01-17,San Antonio,Central Market,Gulf Tequila,Spirits,Jamie Patel,108,90,0,13,3
2026-01-17,Dallas,Market Street,Prairie Pinot Grigio,Wine,Jamie Patel,144,182,3,7,1
2026-01-17,Houston,Kroger,Estate Ridge Cabernet,Wine,Drew Kim,172,194,2,13,1
2026-01-17,Dallas,Tom Thumb,Estate Ridge Cabernet,Wine,Taylor Morgan,85,77,0,7,1
2026-01-17,San Antonio,Kroger,Lone Star Vodka,Beer,Jordan Lee,175,151,0,15,2
2026-01-17,Houston,Market Street,Estate Ridge Cabernet,Spirits,Taylor Morgan,140,132,0,15,0
2026-01-17,Dallas,Central Market,Prairie Pinot Grigio,Beer,Sam Nguyen,174,179,1,7,0
2026-01-17,Houston,Whole Foods,Estate Ridge Cabernet,Beer,Jamie Patel,201,193,1,14,1
2026-01-17,San Antonio,Tom Thumb,Prairie Pinot Grigio,Beer,Alex Carter,173,173,0,9,2
2026-01-17,San Antonio,Whole Foods,Prairie Pinot Grigio,Wine,Drew Kim,177,146,1,16,1
2026-01-17,Houston,Market Street,Lone Star Vodka,Beer,Jamie Patel,216,192,2,13,4
2026-01-17,Austin,Central Market,Gulf Tequila,Wine,Jamie Patel,167,142,1,8,0
2026-01-17,San Antonio,Market Street,Estate Ridge Cabernet,Wine,Riley Brooks,186,181,0,11,2
2026-01-17,Houston,Central Market,Hill Country IPA,Wine,Drew Kim,162,145,0,10,1
2026-01-17,San Antonio,Whole Foods,Hill Country IPA,Wine,Riley Brooks,166,138,0,8,0
2026-01-17,Austin,Kroger,Prairie Pinot Grigio,Wine,Riley Brooks,126,122,1,8,2
2026-01-17,Dallas,Whole Foods,Hill Country IPA,Beer,Sam Nguyen,180,168,1,14,1
2026-01-17,San Antonio,Tom Thumb,Prairie Pinot Grigio,Wine,Drew Kim,118,137,2,12,1
2026-01-17,San Antonio,Tom Thumb,Prairie Pinot Grigio,Wine,Taylor Morgan,146,172,2,16,1
2026-01-17,Dallas,Central Market,Gulf Tequila,Beer,Drew Kim,175,198,2,9,1
2026-01-17,Houston,Market Street,Hill Country IPA,Beer,Alex Carter,205,182,1,11,1
2026-01-17,Austin,Tom Thumb,Gulf Tequila,Wine,Taylor Morgan,115,112,0,14,1
2026-01-17,Austin,Tom Thumb,Hill Country IPA,Spirits,Drew Kim,92,81,1,12,1
2026-01-17,Dallas,Whole Foods,Hill Country IPA,Wine,Sam Nguyen,167,168,0,12,1
2026-01-17,Houston,Tom Thumb,Prairie Pinot Grigio,Wine,Taylor Morgan,154,175,1,10,0
2026-01-17,San Antonio,Whole Foods,Prairie Pinot Grigio,Wine,Alex Carter,157,138,0,13,1
2026-01-17,Dallas,Market Street,Lone Star Vodka,Beer,Alex Carter,158,144,0,17,1
2026-01-17,Austin,Whole Foods,Gulf Tequila,Spirits,Sam Nguyen,101,103,1,11,1
2026-01-17,Dallas,Market Street,Estate Ridge Cabernet,Beer,Sam Nguyen,188,199,1,9,1
2026-01-17,Austin,Kroger,Prairie Pinot Grigio,Spirits,Alex Carter,104,89,1,12,1
2026-01-17,Houston,Kroger,Prairie Pinot Grigio,Spirits,Drew Kim,139,129,0,11,0
2026-01-17,Austin,Central Market,Estate Ridge Cabernet,Wine,Casey Diaz,117,112,1,10,2
